project_name	publication_year	data_publication_doi	sample_name	archive	archive_project	archive_sample_accession	library_name	strand_type	library_polymerase	library_treatment	library_concentration	instrument_model	library_layout	library_strategy	read_count	archive_data_accession	download_links	download_md5s	download_sizes
Warinner2014	2014	10.1038/ng.2906	B61	SRA	PRJNA216965	SRS473742	S1-Shot-B61-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	13228381	SRR957738	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957738/SRR957738.fastq.gz	9c40c43b5d455e760ae8db924347f0b2	953396663
Warinner2014	2014	10.1038/ng.2906	B61	SRA	PRJNA216965	SRS473743	S2-Shot-B61-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	13260566	SRR957739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957739/SRR957739.fastq.gz	dec1507f742de109529638bf00e0732f	1026825795
Warinner2014	2014	10.1038/ng.2906	B61	SRA	PRJNA216965	SRS473744	S3-Shot-B61-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	8869866	SRR957740	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957740/SRR957740.fastq.gz	bc49c59f489b4009206f8abcb737d55d	661500786
Warinner2014	2014	10.1038/ng.2906	B61	SRA	PRJNA216965	SRS473745	S4-Shot-B61-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	11275013	SRR957741	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957741/SRR957741.fastq.gz	e02e3549ddd3ba6dc278a7f573c07321	877360302
Warinner2014	2014	10.1038/ng.2906	G12	SRA	PRJNA216965	SRS473747	S5-Shot-G12-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	8978974	SRR957742	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957742/SRR957742.fastq.gz	b7c620b8ee165c08bee204529341ca5b	690614774
Warinner2014	2014	10.1038/ng.2906	G12	SRA	PRJNA216965	SRS473746	S6-Shot-G12-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	8999409	SRR957743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957743/SRR957743.fastq.gz	375e6b988eeb02cd56bdc861f4225b7f	703180372
Warinner2014	2014	10.1038/ng.2906	G12	SRA	PRJNA216965	SRS473748	S7-Shot-G12-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	10187301	SRR957744	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957744/SRR957744.fastq.gz	c26d00cc0bf3b30de1ab4e6e199dcf0d	792532808
Warinner2014	2014	10.1038/ng.2906	G12	SRA	PRJNA216965	SRS473749	S8-Shot-G12-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	10087890	SRR957745	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957745/SRR957745.fastq.gz	1618b64b43195caa34c75dcf7b6c4c1c	791508690
Warinner2014	2014	10.1038/ng.2906	G12	SRA	PRJNA216965	SRS473750	S9-Shot-G12-calc	double	Phusion HS II DNA	none	NA	Illumina HiSeq 2000	SINGLE	WGS	8790145	SRR957746	ftp.sra.ebi.ac.uk/vol1/fastq/SRR957/SRR957746/SRR957746.fastq.gz	ed6eb0036191e98d4394d8588f79e0fd	599757007
Weyrich2017	2017	10.1038/nature21674	Chimp	SRA	PRJNA685265	SRS7890499	Chimp_12873	double	Unknown	none	NA	Illumina HiSeq 2500	PAIRED	WGS	18612536	SRR13263122	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/022/SRR13263122/SRR13263122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/022/SRR13263122/SRR13263122_2.fastq.gz	d46a4d361a4807525368033e346d6b4b;9031a68f2e9d0050cebe0c04d2cca495	1217032042;1388506054
Weyrich2017	2017	10.1038/nature21674	ElSidron1	SRA	PRJNA685265	SRS7890498	ElSidron1_12056	double	Unknown	none	NA	Illumina HiSeq 2500	PAIRED	WGS	53186534	SRR13263123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/023/SRR13263123/SRR13263123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/023/SRR13263123/SRR13263123_2.fastq.gz	e70fb68658e6e66a60ae4d289666bc03;15a9cbc5c9a1234978c220df8e91c4e7	3533496739;4013394642
